name,state,type,county
Burns,WI,town,La Crosse
Burnside,WI,town,Trempealeau
Butler,WI,town,Clark
Byron,WI,town,Fond du Lac
Byron,WI,town,Monroe
Cable,WI,town,Bayfield
Cadiz,WI,town,Green
Cady,WI,town,St. Croix
Calamus,WI,town,Dodge
Caledonia,WI,town,Columbia
Caledonia,WI,town,Trempealeau
Caledonia,WI,town,Waupaca
Calumet,WI,town,Fond du Lac
Cameron,WI,town,Wood
Canton,WI,town,Buffalo
Carey,WI,town,Iron
Carlton,WI,town,Kewaunee
Carson,WI,town,Portage
Cary,WI,town,Wood
Casco,WI,town,Kewaunee
Casey,WI,town,Washburn
Cassel,WI,town,Marathon
Cassian,WI,town,Oneida
Cassville,WI,town,Grant
Castle Rock,WI,town,Grant
Caswell,WI,town,Forest
Catawba,WI,town,Price
Cato,WI,town,Manitowoc
Cedar Lake,WI,town,Barron
Cedar Rapids,WI,town,Rusk
Cedarburg,WI,town,Ozaukee
Center,WI,town,Outagamie
Center,WI,town,Rock
Centerville,WI,town,Manitowoc
Charlestown,WI,town,Calumet
Chase,WI,town,Oconto
Chelsea,WI,town,Taylor
Chester,WI,town,Dodge
Chetek,WI,town,Barron
Chicog,WI,town,Washburn
Chilton,WI,town,Calumet
Chimney Rock,WI,town,Trempealeau
Chippewa,WI,town,Ashland
Christiana,WI,town,Dane
Christiana,WI,town,Vernon
Cicero,WI,town,Outagamie
City Point,WI,town,Jackson
Clam Falls,WI,town,Polk
Clarno,WI,town,Green
Clay Banks,WI,town,Door
Clayton,WI,town,Crawford
Clayton,WI,town,Polk
Clayton,WI,town,Winnebago
Clear Creek,WI,town,Eau Claire
Clear Lake,WI,town,Polk
Clearfield,WI,town,Juneau
Cleveland,WI,town,Chippewa
Cleveland,WI,town,Jackson
Cleveland,WI,town,Marathon
Cleveland,WI,town,Taylor
Clifton,WI,town,Grant
Clifton,WI,town,Monroe
Clifton,WI,town,Pierce
Clinton,WI,town,Barron
Clinton,WI,town,Rock
Clinton,WI,town,Vernon
Clover,WI,town,Bayfield
Cloverland,WI,town,Douglas
Cloverland,WI,town,Vilas
Clyde,WI,town,Iowa
Clyman,WI,town,Dodge
Colburn,WI,town,Adams
Colburn,WI,town,Chippewa
Colby,WI,town,Clark
Cold Spring,WI,town,Jefferson
Colfax,WI,town,Dunn
Coloma,WI,town,Waushara
Columbus,WI,town,Columbia
Commonwealth,WI,town,Florence
Concord,WI,town,Jefferson
Conover,WI,town,Vilas
Cooks Valley,WI,town,Chippewa
Coon,WI,town,Vernon
Cooperstown,WI,town,Manitowoc
Corning,WI,town,Lincoln
Cottage Grove,WI,town,Dane
Couderay,WI,town,Sawyer
Courtland,WI,town,Columbia
Crandon,WI,town,Forest
Cranmoor,WI,town,Wood
Crescent,WI,town,Oneida
Cross Plains,WI,town,Dane
Cross,WI,town,Buffalo
Crystal Lake,WI,town,Barron
Crystal Lake,WI,town,Marquette
Crystal,WI,town,Washburn
Cumberland,WI,town,Barron
Curran,WI,town,Jackson
Cutler,WI,town,Juneau
Cylon,WI,town,St. Croix
Dairyland,WI,town,Douglas
Dakota,WI,town,Waushara
Dale,WI,town,Outagamie
Dallas,WI,town,Barron
Dane,WI,town,Dane
Daniels,WI,town,Burnett
Darien,WI,town,Walworth
Darlington,WI,town,Lafayette
Day,WI,town,Marathon
Dayton,WI,town,Richland
Dayton,WI,town,Waupaca
Decatur,WI,town,Green
Deer Creek,WI,town,Outagamie
Deer Creek,WI,town,Taylor
Deerfield,WI,town,Dane
Deerfield,WI,town,Waushara
Dekorra,WI,town,Columbia
Delafield,WI,town,Waukesha
Delavan,WI,town,Walworth
Dell Prairie,WI,town,Adams
Dellona,WI,town,Sauk
Delmar,WI,town,Chippewa
Delta,WI,town,Bayfield
Delton,WI,town,Sauk
Dewey,WI,town,Burnett
Dewey,WI,town,Portage
Dewey,WI,town,Rusk
Dewhurst,WI,town,Clark
Dexter,WI,town,Wood
Diamond Bluff,WI,town,Pierce
Dodge,WI,town,Trempealeau
Dodgeville,WI,town,Iowa
Doty,WI,town,Oconto
Douglas,WI,town,Marquette
Dover,WI,town,Buffalo
Dover,WI,town,Racine
Dovre,WI,town,Barron
Doyle,WI,town,Barron
Drammen,WI,town,Eau Claire
Draper,WI,town,Sawyer
Drummond,WI,town,Bayfield
Dunbar,WI,town,Marinette
Dunkirk,WI,town,Dane
Dunn,WI,town,Dane
Dunn,WI,town,Dunn
Dupont,WI,town,Waupaca
Durand,WI,town,Pepin
Eagle,WI,town,Richland
Eagle,WI,town,Waukesha
Eagle Point,WI,town,Chippewa
East Troy,WI,town,Walworth
Eastman,WI,town,Crawford
Easton,WI,town,Adams
Easton,WI,town,Marathon
Eaton,WI,town,Brown
Eaton,WI,town,Clark
Eaton,WI,town,Manitowoc
Eau Galle,WI,town,Dunn
Eau Galle,WI,town,St. Croix
Eau Pleine,WI,town,Marathon
Eau Pleine,WI,town,Portage
Eden,WI,town,Fond du Lac
Eden,WI,town,Iowa
Edgewater,WI,town,Sawyer
Edson,WI,town,Chippewa
Egg Harbor,WI,town,Door
Eileen,WI,town,Bayfield
Eisenstein,WI,town,Price
El Paso,WI,town,Pierce
Elba,WI,town,Dodge
Elcho,WI,town,Langlade
Elderon,WI,town,Marathon
Eldorado,WI,town,Fond du Lac
Elk Grove,WI,town,Lafayette
Elk Mound,WI,town,Dunn
Elk,WI,town,Price
Ellenboro,WI,town,Grant
Ellington,WI,town,Outagamie
Ellsworth,WI,town,Pierce
Emerald,WI,town,St. Croix
Emery,WI,town,Price
Emmet,WI,town,Dodge
Emmet,WI,town,Marathon
Empire,WI,town,Fond du Lac
Enterprise,WI,town,Oneida
Erin Prairie,WI,town,St. Croix
Erin,WI,town,Washington
Estella,WI,town,Chippewa
Ettrick,WI,town,Trempealeau
Eureka,WI,town,Polk
Evergreen,WI,town,Langlade
Evergreen,WI,town,Washburn
Excelsior,WI,town,Sauk
Exeter,WI,town,Green
Fairbanks,WI,town,Shawano
Fairchild,WI,town,Eau Claire
Fairfield,WI,town,Sauk
Farmington,WI,town,Jefferson
Farmington,WI,town,La Crosse
Farmington,WI,town,Polk
Farmington,WI,town,Washington
Farmington,WI,town,Waupaca
Fayette,WI,town,Lafayette
Fence,WI,town,Florence
Fennimore,WI,town,Grant
Fern,WI,town,Florence
Fifield,WI,town,Price
Finley,WI,town,Juneau
Flambeau,WI,town,Price
Flambeau,WI,town,Rusk
Florence,WI,town,Florence
Fond du Lac,WI,town,Fond du Lac
Ford,WI,town,Taylor
Forest,WI,town,Fond du Lac
Forest,WI,town,Richland
Forest,WI,town,St. Croix
Forest,WI,town,Vernon
Forestville,WI,town,Door
Fort Winnebago,WI,town,Columbia
Foster,WI,town,Clark
Fountain Prairie,WI,town,Columbia
Fountain,WI,town,Juneau
Fox Lake,WI,town,Dodge
Frankfort,WI,town,Marathon
Frankfort,WI,town,Pepin
Franklin,WI,town,Jackson
Franklin,WI,town,Kewaunee
Franklin,WI,town,Manitowoc
Franklin,WI,town,Sauk
Franklin,WI,town,Vernon
Franzen,WI,town,Marathon
Fredonia,WI,town,Ozaukee
Freedom,WI,town,Forest
Freedom,WI,town,Outagamie
Freedom,WI,town,Sauk
Freeman,WI,town,Crawford
Fremont,WI,town,Clark
Fremont,WI,town,Waupaca
Friendship,WI,town,Fond du Lac
Frog Creek,WI,town,Washburn
Fulton,WI,town,Rock
Gale,WI,town,Trempealeau
Garden Valley,WI,town,Jackson
Gardner,WI,town,Door
Garfield,WI,town,Jackson
Garfield,WI,town,Polk
Genesee,WI,town,Waukesha
Geneva,WI,town,Walworth
Genoa,WI,town,Vernon
Georgetown,WI,town,Polk
Georgetown,WI,town,Price
Germania,WI,town,Shawano
Germantown,WI,town,Juneau
Germantown,WI,town,Washington
Gibraltar,WI,town,Door
Gibson,WI,town,Manitowoc
Gillett,WI,town,Oconto
Gilman,WI,town,Taylor
Gilmanton,WI,town,Buffalo
Gingles,WI,town,Ashland
Glen Haven,WI,town,Grant
Glencoe,WI,town,Buffalo
Glendale,WI,town,Monroe
Glenmore,WI,town,Brown
Glenwood,WI,town,St. Croix
Goetz,WI,town,Chippewa
Goodman,WI,town,Marinette
Goodrich,WI,town,Taylor
Gordon,WI,town,Ashland
Gordon,WI,town,Douglas
Grafton,WI,town,Ozaukee
Grand Chute,WI,town,Outagamie
Grand Rapids,WI,town,Wood
Grandview,WI,town,Bayfield
Grant,WI,town,Clark
Grant,WI,town,Dunn
Grant,WI,town,Monroe
Grant,WI,town,Portage
